uuid,patent_id,text
urfl2ulyjgez01g5selfflnz7,4491930,A better understanding of the invention may be obtained from a consideration of the detailed description hereinafter taken in conjunction with the drawings which are briefly described below.
nqdxwthotlcted3d961ao373x,4490979,"A better understanding of the invention will be had from the following detailed description given with reference to the accompanying drawings, in which:"
9mwinm7as0p0j3245tdxhfuiz,4491969,"A better understanding of the invention will be obtained following an understanding of the prior art form of frequency converter, which will be described below, followed by a description of the present invention, with reference to the following drawings, in which:"
l1n6w0ofqic6yow2t7qwmvqry,4490948,"A better understanding of the present invention and of its many advantages will be had by referring to the accompanying drawings, in which:"
86bndneq4omf3mfxi60dzr5mx,4491426,"A better understanding of the present invention as well as other objects and advantages thereof will become apparent upon consideration of the detailed disclosure thereof, especially when taken with the accompanying drawing, wherein:"
k1tuuerirtgnyemuai3sm8sco,4491084,"A better understanding of the present invention may be had from a consideration of the following detailed description, taken in conjunction with the accompanying drawing in which:"
hi5rsi8g5wx87octi0c6yqzfs,4491821,A better understanding of the present invention may be had when the following detailed description is read in connection with the accompanying single FIGURE drawing in which there is shown a pictorial illustration of a differential temperature control embodying an example of the present invention.
0pw76mclimgppe77x6lzmfoa1,4491934,A better understanding of the present invention will be had upon reference to the following detailed description when read in conjunction with the accompanying drawing which depicts a flow chart of the preferred embodiment of the present invention.
hzkejf144ritq2eqoe705foco,4491265,A better understanding of this invention will be had by now referring to the accompanying drawings in which:
wvpj5wxk5c5uw1j85kt1bdzj1,4491036,A BRIEF DESCRIPTION OF DRAWINGS
72op8v6srmejosjwziikx6y63,4491694,A BRIEF DESCRIPTION OF THE DRAWINGS
scg3wknifyapm4j6garzp07mh,4490954,"A description is given hereinafter of the proposed masking cover with reference to the accompanying drawings, in which:"
t2gwddlqa2ykmljqni23u671b,4491297,A detailed account will now be given of one working example of the invention using the figures.
kowiz2l3dzwexqfik80zyk3dh,D276953,"A front perspective view with the front top flap shown partly broken away, opened to show the top opening, zippered compartment and interior of the embodiment of FIG. 10 is identical to FIG. 8 and a rear perspective view, with the rear top flap opened to show the zippered compartment and its accordian pleated sides of the embodiment shown in FIG. 10 is identical to FIG. 9."
8bn8cn4nrzh5nvtgt3xcr0zw0,4491369,"A fuller understanding of the nature and objects of the present invention will become apparent upon consideration of the following detailed description taken in connection with the accompanying drawings, wherein:"
jsuh7nvygw9hd9vz60layyi9k,4491470,A further description of the present invention will be made in conjunction with the attached sheets of drawings in which:
zjy0rbvhhc3n3bk785hp3uvgs,4491956,A lenticular member 40 having lenticular ridges 42 is rearwardly of grating 34. An X-ray film 46 having an emulsion is at the rear flat face of member 40 and film 46 is immediately forwardly of rear wall 28 of the cassette.
emm8jnlu37hyldje99lqqezrb,4491427,"A more complete appreciation of the invention and many of the attendant advantages thereof will be better understood as the same becomes more readily apparent by reference to the following detailed description when considered in connection with the accompanying drawings, wherein:"
j5xs4wsm9yu6jpw2qhepptxhh,4491413,"A more complete appreciation of the invention and many of the attendant advantages thereof will be readily obtained as the same becomes better understood by reference to the following detailed description when considered in connection with the accompanying drawings, wherein:"
lt12a1nvhy24fc7n3j9qqf7i9,4491867,"A more complete appreciation of the invention and many of the attendant advantages thereof will be readily obtained as the same becomes better understood by reference to the following detailed description when considered in connection with the accompanying drawings, wherein:"
ffnkzdxj743xy94upxx9f4mza,4491911,"A more complete appreciation of the invention and many of the attendant advantages thereof will be readily obtained as the same becomes better understood by reference to the following detailed description when considered in connection with the accompanying drawings, wherein:"
88z4k8ymvzl49i5yatnfpsup1,4491842,A more complete appreciation of the invention and many of the attendant advantages thereof will be readily understood by reference to the following detailed description when considered with the accompanying drawings in which like reference numerals designate like parts throughout the figures and wherein:
c8df7ajzy488ibrd2kz3oijee,4491315,A more complete appreciation of the present invention and many of the attendant advantages thereof will be readily understood by reference to the following detailed description when considered in connection with the accompanying drawings in which:
zbk4juz9nnvew8pugajh7odnw,4491555,A more complete understanding of the advantages and structure of the present invention may be had by reference to the following detailed description when taken in conjunction with the accompanying drawing of a sectional view of a loading coil case and cable stub.
aij6voi71zrp8flvp50ng5zjn,4491267,"A preferred embodiment is seen in the attached drawing, wherein:"
6frag6oj4fnsef5yz99cf177d,4491019,A preferred embodiment of the invention is described hereinafter with reference to the accompanying drawing wherein
iwrna7u45dat2kj8clsbwct5u,4491391,A preferred embodiment of the invention is shown in the figures of the drawing wherein:
fo6110e56ijjpu5f5x2jygqih,4491418,"A preferred embodiment of the invention will now be described in detail with reference to the accompanying drawing, in which"
3ia0hcg4oe6iwf5m40iuhybvh,4491273,"A preferred embodiment of the invention will now be described in detail with reference to the accompanying drawing, which is a partial perspective view showing the spray head unscrewed and moved slightly away from the pressurized-water supply line for the sake of clarity."
n9awevkt1i6ql1b6apsy3idza,4491086,"A preferred embodiment of the present invention will now be described with reference to the example thereof as illustrated in the accompanying drawings, in which:"
59cqyqllifn8g7196vm11niam,4491314,"A specific embodiment of the present invention will now be described in detail, by way of example only, with reference to the accompanying drawings, in which;"
yfss00de4sieuwkudbi3f5kl7,4491144,"A specific embodiment of the present invention, showing our present contemplation of the best mode of carrying it out, is depicted in the attached drawings:"
ws8nqkcryhflajivkv8pozg6u,4491363,"A table and bench unit embodying features of my invention is illustrated in the accompanying drawings, forming a part of this application, in which:"
s64pueq4w1nipcp707dyvclzk,4491442,"Additional features, advantages and details of the invention are given in the attached claims and/or the following specification and the attached drawings of a preferred embodiment of a pneumatic feeding device according to the invention; the drawings show:"
wd5mscke7fziohqbe6t1iosm3,4491956,"After normal processing, usually in a 90 second film processor, the picture or radiograph, when viewed through the lenticular member reveals a three-dimensional panorama of the object and its internal structures, cavities and inclusions. This is shown in FIG. 3 wherein the images of the patient at points 18, 20 and 22 (FIG. 1) are viewed through a lenticular screen 40 and film 46 with the film being attached to the screen. The points 18, 20, and 22 are seen in relief when the viewer's eyes are at locations 60, 62, and 64. Upon moving from one side to the other, the observer looks around and beyond points 18, 20 and 22 so that the observer sees depths, contours, and spatial relationships all clearly revealed for the clinical diagnostician and with magnified orthoscopic accuracy."
q9fte3sfhtpsk7l5nctu6eyc9,4491485,"An air filter 50 is normally positioned in inlet duct 16 to prevent contamination of the tape with any contaminants, e.g. oil, mist, or dust, which may find their way into the system."
torc7d0dkr78p5i7rwt5e92a4,4491140,"An arrangement embodying the invention will now be described by way of example with reference to the accompanying drawings, in which:"
qcpm7rel0vw221ah848bbbdxw,4491105,"An embodiment of an arrangement according to the invention will be described in the following paragraphs with reference to the accompanying drawings, which FIG. 1 shows a handle with throttle control of an engine-driven tool (power saw), FIG. 2 shows a variation of the wiring the handle and in FIG. 3 is a wiring diagram of the arrangement."
1r7io6lya3l6ougvywasuoj9k,4491174,"An embodiment of the invention is described by way of example with reference to the accompanying drawing, in which:"
pdpkl0bwrc62amuig0h5uya0x,4491944,"An embodiment of the invention is described by way of example with reference to the accompanying drawings, in which:"
3dqbx4805brkzaou489rk7plt,4490964,An embodiment of the invention is described hereunder in some detail with reference to and as illustrated in the accompanying drawings in which:
1qogay4ta4o0hl2kejshtwhyb,4491329,An embodiment of the invention is illustrated in the accompanying drawings in which:
in6zgj7oox9m7ynkpb4jobcx2,4491249,An embodiment of the invention will be explained more closely hereinafter with reference to the drawings by way of an example.
kvxhdoc6ebmfnykawajt1p54u,4491410,An embodiment of the invention will now be further described by way of non-limitative example with reference to the accompanying drawing.
di4zxhahpf3l7rszyuhu2le0g,4491138,An example of a system according to this invention is shown in the accompanying drawings. In these drawings:
9u9p47xsfqzysvsnyemrobvxb,4491566,"An example of an automated CO.sub.2 removal system in accordance with the invention and its method of operation will now be described with reference to the accompanying drawings, in which:"
